player_name,position,guide_rank,guide_adj_ppg,guide_reason
Michael Wilson,WR,19,13.0,with Marvin healthy
Jaylen Waddle,WR,20,12.9,in complete games
Courtland Sutton,WR,21,12.7,with Bo Nix
Tetairoa McMillan,WR,22,12.5,
Deebo Samuel,WR,23,12.3,
Christian Watson,WR,23,12.3,with Jordan Love
Marvin Harrison,WR,23,12.3,in complete games
Parker Washington,WR,23,12.3,
Jameson Williams,WR,27,12.1,with ARSB healthy
DK Metcalf,WR,27,12.1,
DeVonta Smith,WR,27,12.1,
Mike Evans,WR,27,12.1,in complete games
Justin Jefferson,WR,31,11.9,
Jauan Jennings,WR,31,11.9,
Quentin Johnston,WR,33,11.8,
Stefon Diggs,WR,34,11.5,
Alec Pierce,WR,34,11.5,with Daniel Jones
Terry McLaurin,WR,36,11.4,small sample with QB
Jakobi Meyers,WR,36,11.4,full games with Jacksonville
Romeo Doubs,WR,36,11.4,with Jordan Love
Khalil Shakir,WR,39,11.2,
Ladd McConkey,WR,40,11.0,
DJ Moore,WR,41,10.8,
Troy Franklin,WR,42,10.5,
Keenan Allen,WR,42,10.5,
Luther Burden,WR,44,10.3,post-bye once full snaps
Chris Godwin,WR,45,10.0,in complete games
Brian Thomas,WR,46,9.9,
Jordan Addison,WR,47,9.7,
Tre Tucker,WR,48,9.5,
