kicker_name,team,fg_attempts,fg_made,fg_pct,fg_attempts_50plus,fg_made_50plus,fg_pct_50plus,pat_attempts,pat_made,pat_pct,is_dome,team_offense_ppg,team_go_for_it_rate_fg_range
B.Aubrey,DAL,47,40,0.851063829787234,17,14,0.8235294117647058,30,30,1.0,True,20.58823529411765,0.1836734693877551
C.Boswell,PIT,44,41,0.9318181818181818,15,13,0.8666666666666667,35,35,1.0,False,22.352941176470587,0.13333333333333333
K.Fairbairn,HOU,42,36,0.8571428571428571,16,13,0.8125,36,34,0.9444444444444444,True,21.88235294117647,0.24
C.Dicker,LAC,42,39,0.9285714285714286,11,9,0.8181818181818182,36,33,0.9166666666666666,True,23.647058823529413,0.17391304347826086
J.Sanders,MIA,41,37,0.9024390243902439,14,12,0.8571428571428571,28,26,0.9285714285714286,False,20.294117647058822,0.3333333333333333
D.Carlson,LV,40,34,0.85,11,7,0.6363636363636364,25,23,0.92,True,18.176470588235293,0.24489795918367346
M.Gay,IND,37,31,0.8378378378378378,9,3,0.3333333333333333,33,33,1.0,True,22.176470588235293,0.3269230769230769
J.Elliott,PHI,36,28,0.7777777777777778,7,1,0.14285714285714285,48,47,0.9791666666666666,False,27.235294117647058,0.32
J.Karty,LA,34,29,0.8529411764705882,7,6,0.8571428571428571,36,32,0.8888888888888888,True,21.58823529411765,0.3125
Y.Koo,ATL,34,25,0.7352941176470589,9,6,0.6666666666666666,26,26,1.0,True,22.88235294117647,0.29310344827586204
W.Lutz,DEN,34,31,0.9117647058823529,7,5,0.7142857142857143,46,46,1.0,False,25.0,0.3170731707317073
J.Moody,SF,34,24,0.7058823529411765,9,4,0.4444444444444444,33,32,0.9696969696969697,False,22.88235294117647,0.17307692307692307
J.Slye,NE,33,26,0.7878787878787878,9,6,0.6666666666666666,26,25,0.9615384615384616,False,17.0,0.3181818181818182
C.McLaughlin,TB,32,30,0.9375,10,8,0.8,56,54,0.9642857142857143,False,29.529411764705884,0.21052631578947367
C.Ryland,ARI,32,28,0.875,4,4,1.0,27,26,0.9629629629629629,True,23.529411764705884,0.20512820512820512
B.Grupe,NO,31,27,0.8709677419354839,8,6,0.75,33,31,0.9393939393939394,True,19.88235294117647,0.2682926829268293
J.Myers,SEA,30,26,0.8666666666666667,12,9,0.75,40,37,0.925,False,22.058823529411764,0.2777777777777778
W.Reichard,MIN,30,24,0.8,11,8,0.7272727272727273,38,38,1.0,True,25.41176470588235,0.22
A.Seibert,WAS,30,27,0.9,5,2,0.4,24,22,0.9166666666666666,False,28.529411764705884,0.3157894736842105
J.Tucker,BAL,30,22,0.7333333333333333,11,6,0.5454545454545454,62,60,0.967741935483871,False,30.470588235294116,0.20588235294117646
T.Bass,BUF,29,24,0.8275862068965517,4,4,1.0,64,59,0.921875,False,30.88235294117647,0.2926829268292683
C.Little,JAX,29,27,0.9310344827586207,6,5,0.8333333333333334,27,27,1.0,False,18.823529411764707,0.32432432432432434
J.Bates,DET,29,26,0.896551724137931,8,6,0.75,67,64,0.9552238805970149,True,33.1764705882353,0.4791666666666667
D.Hopkins,CLE,27,18,0.6666666666666666,8,4,0.5,20,17,0.85,False,15.176470588235293,0.4
E.Pineiro,CAR,26,22,0.8461538461538461,2,1,,35,33,0.9428571428571428,False,20.058823529411764,0.41025641025641024
H.Butker,KC,25,21,0.84,5,2,0.4,31,29,0.9354838709677419,False,22.647058823529413,0.2553191489361702
C.Santos,CHI,25,21,0.84,9,8,0.8888888888888888,26,25,0.9615384615384616,False,18.235294117647058,0.4146341463414634
N.Folk,TEN,22,21,0.9545454545454546,6,6,1.0,25,25,1.0,False,18.294117647058822,0.2647058823529412
E.McPherson,CIN,22,16,0.7272727272727273,7,3,0.42857142857142855,38,37,0.9736842105263158,False,27.764705882352942,0.26666666666666666
B.McManus,GB,21,20,0.9523809523809523,3,3,1.0,30,30,1.0,False,27.058823529411764,0.2765957446808511
G.Joseph,NYG,20,16,0.8,2,1,,11,11,1.0,False,16.058823529411764,0.37777777777777777
B.Narveson,GB,18,12,0.6666666666666666,1,0,,18,18,1.0,False,27.058823529411764,0.2765957446808511
M.Wright,KC,16,15,0.9375,2,1,,6,6,1.0,False,22.647058823529413,0.2553191489361702
G.Zuerlein,NYJ,15,9,0.6,1,0,,14,13,0.9285714285714286,False,19.88235294117647,0.30952380952380953
A.Carlson,NYJ,15,13,0.8666666666666667,3,3,1.0,15,12,0.8,False,19.88235294117647,0.30952380952380953
C.York,CIN,13,9,0.6923076923076923,2,1,,17,16,0.9411764705882353,False,27.764705882352942,0.26666666666666666
J.Romo,MIN,12,11,0.9166666666666666,1,1,,8,7,0.875,True,25.41176470588235,0.22
G.Gano,NYG,11,9,0.8181818181818182,2,2,,15,15,1.0,False,16.058823529411764,0.37777777777777777
R.Patterson,ATL,7,4,0.5714285714285714,3,1,0.3333333333333333,16,16,1.0,True,22.88235294117647,0.29310344827586204
Z.Gonzalez,WAS,7,5,0.7142857142857143,1,0,,19,19,1.0,False,28.529411764705884,0.3157894736842105
M.Prater,ARI,6,6,1.0,1,1,,10,10,1.0,True,23.529411764705884,0.20512820512820512
S.Shrader,KC,5,5,1.0,0,0,,9,9,1.0,False,22.647058823529413,0.2553191489361702
J.McAtamney,NYG,1,1,1.0,0,0,,1,1,1.0,False,16.058823529411764,0.37777777777777777
M.Wishnowsky,SF,1,1,1.0,0,0,,0,0,,False,22.88235294117647,0.17307692307692307
J.Gillan,NYG,0,0,,0,0,,1,0,0.0,False,16.058823529411764,0.37777777777777777
