player_name,team,position,pos_rank_label,ecr_rank,adp,rank_min,rank_max,rank_std,bye_week,owned_avg_pct
Isaac Guerendo,SF,RB,RB93,311,301.12,228,381,27.10,8,1.7
Bam Knight,ARI,RB,RB102,349,301.19,201,394,40.39,14,0.7
Tahj Brooks,CIN,RB,RB94,315,301.48,231,354,21.85,6,0.9
Konata Mumpfield,LAR,WR,WR115,333,301.77,247,378,30.44,11,0.7
Trevor Etienne,CAR,RB,RB91,306,301.87,219,343,20.81,5,1.0
Jaleel McLaughlin,DEN,RB,RB96,317,301.97,222,381,30.68,10,0.6
Michael Mayer,LV,TE,TE41,324,302.91,249,373,32.96,13,6.5
Joey Slye,TEN,K,K25,407,303.0,204,403,70.53,9,1.1
Audric Estime,NO,RB,RB97,318,303.2,238,369,24.90,8,2.4
Bryce Lance,NO,WR,WR114,332,303.25,209,387,44.55,8,2.2
Eli Heidenreich,PIT,RB,RB101,348,304.41,248,372,34.03,9,1.3
Xavier Hutchinson,HOU,WR,WR123,355,305.5,178,384,58.63,8,1.0
Jalen Reagor,MIA,WR,WR164,478,306.0,289,323,17.00,6,0.0
Joe Mixon,FA,RB,RB100,331,306.23,153,365,34.48,,5.7
Ty Chandler,NO,RB,RB120,438,306.25,248,382,49.26,8,1.3
Charlie Kolar,LAC,TE,TE51,361,306.35,226,377,42.29,7,1.4
Cash Jones,ATL,RB,RB126,453,308.0,267,343,31.32,11,0.0
Barion Brown,NO,WR,WR149,439,309.0,269,350,28.75,8,1.7
Jarquez Hunter,LAR,RB,RB95,316,309.29,263,379,20.40,11,2.0
Arizona Cardinals,ARI,DEF,DST32,457,309.33,212,362,68.90,14,3.4
Olamide Zaccheaus,ATL,WR,WR119,339,309.81,247,369,28.99,11,1.7
Kendrick Bourne,ARI,WR,WR126,363,309.96,190,446,57.57,14,2.1
Roman Wilson,PIT,WR,WR138,390,310.15,237,385,48.43,9,1.0
Elijah Arroyo,SEA,TE,TE42,329,310.6,203,369,30.72,11,3.1
Tez Johnson,TB,WR,WR117,336,311.58,225,371,30.41,10,1.2
Raheim Sanders,CLE,RB,RB104,369,311.58,248,383,32.15,11,0.6
Ben Sauls,NYG,K,K29,417,311.71,209,453,74.79,8,0.8
Joshua Palmer,BUF,WR,WR125,357,311.92,223,370,38.22,7,0.8
Brandin Cooks,FA,WR,WR165,483,312.5,282,343,30.50,,1.1
Calvin Austin III,NYG,WR,WR120,340,313.03,252,410,38.99,8,1.5
Will Shipley,PHI,RB,RB98,320,313.18,240,363,24.00,10,0.9
Jaret Patterson,LAC,RB,RB137,484,313.5,289,338,24.50,7,1.1
Jalen Royals,KC,WR,WR118,337,313.53,259,373,28.72,5,0.9
Cedric Tillman,CLE,WR,WR116,334,313.72,254,391,34.69,11,0.6
Miami Dolphins,MIA,DEF,DST28,399,314.2,187,392,63.76,6,6.6
Ashton Dulin,IND,WR,WR142,400,314.4,287,367,22.95,13,0.7
KaVontae Turpin,DAL,WR,WR133,378,314.94,208,433,58.21,14,2.9
Noah Whittington,HOU,RB,RB129,460,315.33,265,384,50.28,8,0.0
Kareem Hunt,FA,RB,RB99,330,315.37,242,421,26.30,,0.9
Phil Mafah,DAL,RB,RB106,380,315.63,232,399,36.00,14,0.6
Brenen Thompson,LAC,WR,WR124,356,315.71,258,385,36.38,7,2.9
Kalif Raymond,CHI,WR,WR130,374,318.56,230,379,43.40,10,0.6
Malik Benson,LV,WR,WR129,373,318.67,232,435,61.09,13,1.3
Will Kacmarek,MIA,TE,TE70,485,319.0,318,320,1.00,6,2.7
Tyler Goodson,ATL,RB,RB123,445,319.75,263,358,34.84,11,1.2
New York Jets,NYJ,DEF,DST31,433,320.2,191,431,81.00,13,4.9
Reggie Virgil,ARI,WR,WR167,488,320.5,267,374,53.50,14,0.7
Cedrick Wilson Jr.,DET,WR,WR168,489,320.5,287,354,33.50,6,0.6
Erick All Jr.,CIN,TE,TE44,342,320.69,261,410,33.48,6,0.7
Luke McCaffrey,WAS,WR,WR122,344,321.03,270,403,33.75,7,0.9
Tyler Higbee,LAR,TE,TE43,338,321.22,259,376,25.67,11,1.7
Nick Westbrook-Ikhine,IND,WR,WR135,383,321.44,199,413,56.20,13,0.7
Carson Beck,ARI,QB,QB37,335,321.48,284,372,20.29,14,7.3
Scotty Miller,CHI,WR,WR169,491,322.5,262,383,60.50,10,0.1
Hunter Luepke,DAL,RB,RB117,434,322.6,264,389,51.52,14,0.7
J.J. McCarthy,MIN,QB,QB36,328,323.27,276,360,16.86,6,5.9
Cole Kmet,CHI,TE,TE45,343,323.32,274,381,23.89,10,4.1
Dylan Laube,LV,RB,RB124,446,324.0,261,387,45.63,13,0.8
Zavier Scott,MIN,RB,RB115,428,324.67,254,378,37.54,6,0.6
Jam Miller,NE,RB,RB112,406,324.8,263,377,40.78,11,1.3
Kevin Coleman Jr.,MIA,WR,WR128,372,325.1,237,420,43.70,6,1.1
Treylon Burks,WAS,WR,WR127,365,325.44,225,409,46.12,7,1.7
Eli Raridon,NE,TE,TE49,353,325.63,259,412,31.42,11,3.6
Jawhar Jordan,HOU,RB,RB105,371,325.76,226,408,43.17,8,0.6
Tutu Atwell,MIA,WR,WR131,376,326.21,227,424,49.70,6,0.8
John Bates,WAS,TE,TE58,414,326.22,274,432,45.48,7,0.7
John Metchie III,CAR,WR,WR134,382,326.47,277,416,42.07,5,1.3
Sione Vaki,DET,RB,RB113,409,326.6,275,370,28.53,6,0.6
Devontez Walker,BAL,WR,WR140,396,326.75,267,451,52.63,13,0.7
Noah Gray,KC,TE,TE47,347,327.15,281,369,24.02,5,2.2
Jeremy McNichols,WAS,RB,RB119,437,327.8,243,389,52.06,7,0.6
Mitch Tinsley,CIN,WR,WR156,464,328.0,286,370,34.29,6,0.6
Michael Carter,TEN,RB,RB103,368,329.5,217,415,38.36,9,0.6
Max Klare,LAR,TE,TE46,346,329.84,281,380,25.58,11,8.1
Dont'e Thornton Jr.,LV,WR,WR136,385,330.65,277,384,33.36,13,0.9
Nick Chubb,FA,RB,RB107,386,330.71,275,401,29.45,,0.8
Rasheen Ali,BAL,RB,RB114,416,330.89,294,383,28.61,13,0.6
Robert Henry Jr.,WAS,RB,RB121,440,331.0,253,398,57.72,7,0.0
Ja'Tavion Sanders,CAR,TE,TE50,359,331.13,268,399,28.59,5,2.2
J'Mari Taylor,JAC,RB,RB108,393,331.71,297,378,24.96,7,2.3
Dawson Knox,BUF,TE,TE48,350,331.8,274,415,31.89,7,4.2
Jordan Watkins,SF,WR,WR172,497,333.0,332,334,1.00,8,1.0
Demarcus Robinson,SF,WR,WR143,413,333.3,267,414,49.55,8,0.8
Donovan Edwards,MIA,RB,RB133,468,333.33,275,381,43.93,6,1.0
Jahdae Walker,CHI,WR,WR157,469,334.0,302,350,22.63,10,0.9
Mac Jones,SF,QB,QB38,345,334.85,287,443,25.89,8,4.1
Odell Beckham Jr.,NYG,WR,WR150,443,335.2,286,369,30.77,8,3.9
Reggie Gilliam,NE,RB,RB127,454,335.25,283,393,41.85,11,0.1
Tommy Myers,FA,TE,TE61,432,335.33,254,426,55.92,,0.0
Frank Gore Jr.,BUF,RB,RB128,455,335.75,281,370,34.54,7,0.6
Elijah Moore,PHI,WR,WR159,472,336.0,300,396,42.71,10,0.6
Xavier Restrepo,TEN,WR,WR154,456,336.0,288,391,36.63,9,1.1
Justin Joly,DEN,TE,TE52,364,336.67,261,386,31.79,10,5.0
Zavion Thomas,CHI,WR,WR137,387,337.06,264,441,44.61,10,3.7
CJ Daniels,LAR,WR,WR141,398,337.54,269,418,40.17,11,1.3
Theo Wease Jr.,MIA,WR,WR160,473,338.0,255,419,66.97,6,1.1
Michael Woods II,DEN,WR,WR173,500,338.0,280,396,58.00,10,1.0
Greg Dortch,DET,WR,WR146,429,339.14,265,387,41.84,6,0.6
Savion Williams,GB,WR,WR132,377,340.0,292,444,33.34,11,0.8
Van Jefferson,WAS,WR,WR163,476,341.0,303,373,28.89,7,0.8
Jeremy Ruckert,NYJ,TE,TE76,501,341.0,300,382,41.00,13,0.6
Colbie Young,CIN,WR,WR145,425,341.0,291,379,30.81,6,0.9
Ronnie Rivers,LAR,RB,RB130,461,341.25,279,368,36.13,11,0.6
Roschon Johnson,CHI,RB,RB110,402,342.15,276,390,32.27,10,0.6
Justin Fields,KC,QB,QB39,360,342.77,293,389,23.25,5,3.9
Noah Fant,NO,TE,TE53,381,344.05,290,375,21.60,8,1.3
Anthony Richardson Sr.,IND,QB,QB41,375,344.63,291,386,23.47,13,6.0
Marlin Klein,HOU,TE,TE66,462,345.75,334,360,11.05,8,0.6
Ty Simpson,LAR,QB,QB40,366,346.13,294,386,23.12,11,8.4
Joe Flacco,CIN,QB,QB42,389,346.4,296,398,28.07,6,2.2
Travis Homer,PIT,RB,RB139,503,346.5,327,366,19.50,9,1.0
Jaylin Lane,WAS,WR,WR139,391,347.16,298,411,31.60,7,0.9
Tommy Tremble,CAR,TE,TE54,397,348.75,298,402,27.28,5,0.6
David Sills V,TB,WR,WR174,504,349.0,329,369,20.00,10,0.0
Austin Ekeler,FA,RB,RB111,403,349.07,296,391,29.12,,0.6
Myles Montgomery,FA,RB,RB140,505,349.5,295,404,54.50,,0.0
Jameis Winston,NYG,QB,QB43,395,349.59,321,398,22.34,8,2.6
Dameon Pierce,PHI,RB,RB116,430,349.75,311,381,23.89,10,0.8
Miles Davis,CAR,RB,RB131,465,350.5,284,394,43.19,5,0.0
Tai Felton,MIN,WR,WR151,447,350.6,298,456,55.82,6,0.6
Juice Wells Jr.,ATL,WR,WR161,474,351.0,256,458,82.90,11,1.1
Terrell Jennings,FA,RB,RB122,444,351.67,314,406,31.40,,0.6
Quinn Ewers,MIA,QB,QB48,467,351.75,343,367,9.15,6,1.7
Jonnu Smith,FA,TE,TE63,451,352.2,276,429,52.84,,1.6
Tyler Lockett,LV,WR,WR166,486,352.33,314,412,42.76,13,0.6
Cade Klubnik,NYJ,QB,QB46,421,352.4,319,398,27.42,13,4.6
Miles Sanders,FA,RB,RB135,479,352.67,286,445,67.40,,1.0
Jordan Whittington,LAR,WR,WR144,415,353.08,298,442,39.82,11,0.6
Austin Hooper,ATL,TE,TE60,423,353.5,314,390,21.67,11,0.9
Jaydn Ott,KC,RB,RB138,490,353.67,288,390,46.52,5,1.0
Tanner Koziol,JAC,TE,TE65,459,354.0,290,390,34.42,7,1.4
Jacob Cowing,SF,WR,WR155,463,354.0,259,449,68.37,8,1.0
Marcus Mariota,WAS,QB,QB44,404,354.13,297,398,28.96,7,2.4
Joe Milton III,DAL,QB,QB45,420,354.18,319,388,20.61,14,1.4
Luke Musgrave,GB,TE,TE55,401,355.25,293,386,21.98,11,2.3
Tim Patrick,NYJ,WR,WR158,470,355.5,318,397,32.21,13,1.0
Riley Leonard,IND,QB,QB47,442,356.29,324,382,21.43,13,1.6
Gardner Minshew II,ARI,QB,QB49,492,356.33,335,371,15.43,14,0.8
Ben Sinnott,WAS,TE,TE59,419,356.58,331,385,17.26,7,0.8
Jimmy Horn Jr.,CAR,WR,WR170,494,356.67,347,376,13.67,5,0.8
Daniel Bellinger,TEN,TE,TE57,412,356.71,313,401,25.41,9,1.5
Matt Hibner,BAL,TE,TE73,496,358.0,351,366,6.16,13,1.2
Mason Rudolph,PIT,QB,QB51,508,358.0,330,386,28.00,9,0.7
Mitchell Evans,CAR,TE,TE56,405,359.25,297,392,24.27,5,0.6
Mo Alie-Cox,IND,TE,TE79,509,360.0,358,362,2.00,13,0.6
Elijah Mitchell,FA,RB,RB136,481,360.67,287,459,72.35,,1.2
Josh Oliver,MIN,TE,TE67,477,361.0,359,363,1.41,6,0.6
Sam Roush,CHI,TE,TE74,498,362.33,335,377,19.34,10,0.7
Damien Martinez,GB,RB,RB125,448,365.29,335,411,23.94,11,1.3
Deion Burks,IND,WR,WR147,431,365.56,319,454,38.50,13,1.1
Zach Ertz,FA,TE,TE64,458,365.67,320,425,34.38,,0.9
DeAndre Hopkins,BAL,WR,WR162,475,365.75,307,450,56.56,13,0.6
Jalen Milroe,SEA,QB,QB50,502,367.67,357,388,14.38,11,2.3
Taysom Hill,FA,TE,TE75,499,370.67,309,440,53.75,,0.7
Elijah Higgins,ARI,TE,TE62,441,370.67,353,428,23.34,14,0.8
Antonio Gibson,FA,RB,RB134,471,371.2,326,434,40.76,,1.3
Nate Boerkircher,JAC,TE,TE72,493,371.5,361,392,12.46,7,0.9
Jackson Hawes,BUF,TE,TE68,480,373.0,356,390,11.52,7,0.6
Adam Trautman,DEN,TE,TE69,482,374.8,353,414,22.27,10,0.6
Marquez Valdes-Scantling,DAL,WR,WR171,495,375.0,318,430,39.67,14,0.7
Tyrod Taylor,GB,QB,QB53,513,375.0,328,422,47.00,11,0.8
Josh Cameron,JAC,WR,WR176,515,375.5,362,389,13.50,7,0.7
Tyler Conklin,DET,TE,TE77,506,376.67,363,387,10.08,6,0.6
Drew Sample,CIN,TE,TE78,507,376.67,364,384,8.99,6,0.6
Luke Schoonmaker,DAL,TE,TE71,487,378.2,362,395,13.38,14,0.9
Kendrick Law,DET,WR,WR177,516,378.5,369,388,9.50,6,1.5
Jason Sanders,NYJ,K,K34,510,381.0,365,405,17.28,13,1.0
Trey Lance,LAC,QB,QB52,511,382.0,376,390,5.89,7,0.6
Dean Connors,LAR,RB,RB141,517,382.0,381,383,1.00,11,1.0
JuJu Smith-Schuster,FA,WR,WR178,518,383.5,373,394,10.50,,1.1
Dyami Brown,WAS,WR,WR153,450,383.78,346,455,30.08,7,0.7
Lil'Jordan Humphrey,DEN,WR,WR179,519,389.0,371,407,18.00,10,1.2
Jermaine Burton,FA,WR,WR175,512,390.5,324,457,66.50,,1.1
Michael Trigg,DAL,TE,TE80,514,395.67,366,439,31.33,14,5.2
