player_name,team,position,adp,ecr_rank,bye_week,player_id,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct,value_score,ppg,rushing_ppg,snap_share,volume,efficiency,receiving_ppg,td_rate,position_rank,adp_position_rank,value_gap
Greg Dulcich,MIA,TE,203.43,242,6.0,00-0037252,3.0,2.8000000000000003,7.8,0.0,0.0,0.0,12.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2566666666666666,-1.3512848222463674,2.6,0.0,0.2566666666666666,4.0,0.65,2.6,0.0,54,23,-31
Colston Loveland,CHI,TE,38.54,38,10.0,,,,,,,,,,,,,,,,,,-1.3612848222463674,,,,,,,,55,3,-52
Tyler Warren,IND,TE,54.27,52,13.0,,,,,,,,,,,,,,,,,,-1.3712848222463674,,,,,,,,56,4,-52
Harold Fannin Jr.,CLE,TE,74.53,71,11.0,,,,,,,,,,,,,,,,,,-1.3812848222463674,,,,,,,,57,5,-52
Oronde Gadsden II,LAC,TE,189.57,172,7.0,,,,,,,,,,,,,,,,,,-1.3912848222463674,,,,,,,,58,21,-37
Gunnar Helm,TEN,TE,218.45,205,9.0,,,,,,,,,,,,,,,,,,-1.4012848222463674,,,,,,,,59,25,-34
Kenyon Sadiq,NYJ,TE,222.56,208,13.0,,,,,,,,,,,,,,,,,,-1.4112848222463674,,,,,,,,60,26,-34
Terrance Ferguson,LAR,TE,223.06,218,11.0,,,,,,,,,,,,,,,,,,-1.4212848222463674,,,,,,,,61,27,-34
Mason Taylor,NYJ,TE,271.22,271,13.0,,,,,,,,,,,,,,,,,,-1.4312848222463674,,,,,,,,62,33,-29
Darren Waller,CAR,TE,272.95,322,5.0,,,,,,,,,,,,,,,,,,-1.4412848222463674,,,,,,,,63,34,-29
Eli Stowers,PHI,TE,278.84,279,10.0,,,,,,,,,,,,,,,,,,-1.4512848222463675,,,,,,,,64,36,-28
Jake Tonges,SF,TE,288.39,313,8.0,,,,,,,,,,,,,,,,,,-1.4612848222463675,,,,,,,,65,38,-27
